"rownum","i32_0","i32_4","MiscAnimated","i32_24","i32_28","i32_32","i32_36","i32_40","bool_44","i32_45","i32_49","i32_53","bool_57","[rid]_58","bool_74","i32_75","i32_79","i32_83","i32_87","i32_91","bool_95","string_96","bool_104","i32_105","bool_109","i32_110","i32_114","bool_118","i32_119","[string]_123","string_139","[i32]_147","string_163","string_171","i32_179","bool_183","[i32]_184","bool_200","i32_201","bool_205","rid_206","bool_222"
90,22962,0,[4734],500,1,2,40,0,1,13,13,0,1,[],"",3,0,7,0,0,1,"","",2,"",1,3,"",1,[],"DispatchRulesetEvent( \""increase_alert 200\"" );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",1,1,[4391028],"",50,1,0,""
91,23080,0,[],500,1,2,37,0,1,13,13,0,1,[],"",2,0,7,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/LeagueHeist/Boss/VinnyVoxIceWall""]","triggerer.SetStateTo( explode, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
92,23274,0,[],2000,1,2,60,0,1,13,13,0,1,[],"",3,0,7,0,0,1,"",1,2,"",1,2,1,4,"[""Metadata/Monsters/LeagueHeist/Boss/FreidrichSlave"",""Metadata/Monsters/LeagueHeist/Boss/FreidrichSlave2""]","triggerer.SetStateTo( blood_extraction, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
93,23596,0,[4851],100,1,2,60,0,1,13,13,0,1,[],"",3,0,7,0,0,1,"",1,2,"",1,2,1,4,"[""Metadata/Monsters/LeagueHeist/Boss/FreidrichSlave"",""Metadata/Monsters/LeagueHeist/Boss/FreidrichSlave2""]","triggerer.SetStateTo( blood_bomb, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",33,"",0,""
94,23716,0,[],0,1,2,35,0,1,13,13,0,1,[],"",1,0,7,0,0,1,"","",2,"",1,3,"",1,[],"","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
95,23724,0,[],280,1,2,150,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Terrain/EndGame/MapCrimsonTownship/Objects/SmashableBench""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
96,23876,0,[],280,1,2,150,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Terrain/EndGame/MapCrimsonTownship/Objects/ExtinguishableCandles""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
97,24042,0,[],280,1,2,150,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Terrain/EndGame/MapCrimsonTownship/Objects/AmbientLight""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
98,24192,0,[4676],200,1,2,100,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",1,4,1,1,[],"triggerer.AddBuff(ritual_generic_speed_buff, 20, 10);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
99,24328,0,[5088],0,1,2,14,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",1,3,"",1,[],"triggerer.AddBuff( reaper_wraith_grasping_chains, infinity, -5, 10, 4, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
100,24508,0,[5057],1000,1,3,32,0,1,13,13,0,1,[],"",3,0,7,0,0,"","","",2,"",1,3,"",1,[],"triggerer.AddBuff(ritual_blood_totem_degen, 3, CalculateDamage( 1.75, 0.042 ));","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",50,"",0,""
101,24696,0,[5078],600,1,5,18,0,1,13,13,0,1,[],"",1,0,7,0,0,1,"","",2,"",1,3,"",1,[],"triggerer.AddBuff( maven_map_space_vines, infinity, -5, 10, 3, 0 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",600,"",0,""
102,24860,0,[5140],600,1,2,200,0,1,13,13,0,1,[],"",1,0,7,0,0,1,"",1,2,"",1,4,1,1,"[""Metadata/Monsters/MavenBoss/MavenBrainOrbitDaemon""]","triggerer.SetStateTo( collapse, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
103,25072,0,[],0,3,3,161,37,1,4,3,100,1,[],"",1,0,4,0,0,"","",1,2,"",5,4,1,1,"[""Metadata/Monsters/MavenBoss/MavenBrainOrbitDaemon""]","triggerer.SetStateTo( explode_without_animation, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
104,25200,0,[],0,1,2,85,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,1,1,"[""Metadata/Monsters/MavenBoss/MavenBrainOrbitDaemon""]","triggerer.SetStateTo( explode_without_animation, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
105,25218,0,[3595],600,1,4,70,0,1,13,13,0,"",[],"",1,0,7,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Monsters/AtlasExiles/OrionArenaObjects/OrionGeyserObjectInfluence""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
106,25404,0,[5180],300,1,2,50,0,1,13,13,0,1,[],"",3,0,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.AddBuff(ultimatum_chieftain_buff, 10, 20);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
107,25538,0,[],100,2,2,70,0,1,6,2,15,1,[],"",3,0,2,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/mechanics/GoliathBloodBall""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",70,""
108,25728,0,[5587],500,3,3,68,37,1,6,3,100,1,[],"",3,0,2,0,0,"","","",2,"",1,2,"",1,[],"triggerer.AddBuff( onslaught, 6, 20, 20, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",100,"",0,""
109,25850,0,[5644],400,1,2,50,0,1,13,13,0,"",[],"",2,10,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.pulse_buff_owner = this.owner;\r\ntriggerer.IfStat( monster_allies_cannot_take_damage_pulse_owner, 0, { AddBuffWithOwner( damage_immune_while_owner_lives, 5, pulse_buff_owner, 1 ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
110,26266,0,[5590],300,1,2,33,0,1,13,13,0,"",[],"",2,14,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.AddBuff(ultimatum_physical_charge, 7, 0, 0, 20, 30, 500);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
111,26430,0,[5591],300,1,2,33,0,1,13,13,0,"",[],"",2,14,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.AddBuff(ultimatum_elemental_charge, 7, 0, 20, 30, 500);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
112,26590,0,[],100,2,2,70,0,1,6,2,15,1,[],"",3,0,2,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/mechanics/GoliathBloodBallRuin""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",70,""
113,26788,0,[],300,1,2,33,0,1,13,13,0,"",[],"",2,14,7,0,0,"","","",2,"",5,1,"",1,[],"triggerer.IfType( \""Metadata/Terrain/Leagues/Ultimatum/Objects/UltimatumChallengeInteractable\"", {}, { AddBuff(ultimatum_physical_charge, 7, 600, 600, 40, 30, 500); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
114,27136,0,[],300,1,2,33,0,1,13,13,0,"",[],"",2,14,7,0,0,"","","",2,"",5,1,"",1,[],"triggerer.IfType( \""Metadata/Terrain/Leagues/Ultimatum/Objects/UltimatumChallengeInteractable\"", {}, { AddBuff(ultimatum_elemental_charge, 7, 900, 40, 30, 500); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
115,27476,0,[],500,3,3,68,37,1,6,3,100,1,[],"",3,0,2,0,0,"","","",2,"",5,1,"",1,[],"triggerer.AddBuff( cover_in_ash, 6, -20, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",100,"",0,""
116,27582,0,[5851],1000,2,6,55,0,1,6,2,15,1,[],"",3,0,2,0,0,"","",1,2,"",1,4,1,4,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition/general/armored_caster/LightningBall""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",140,""
117,27810,0,[],0,1,5,18,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/Skeletons/SkeletonMelee3"",""Metadata/Monsters/Skeletons/SkeletonBowLightning"",""Metadata/Monsters/Skeletons/SkeletonBowPuncture"",""Metadata/Monsters/Skeletons/SkeletonCasterLightning"",""Metadata/Monsters/Skeletons/SkeletonCasterCold""]","triggerer.AddBuff( necromancer_skeleton_buff, infinite, 100, 50 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
118,28484,0,[],500,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,1,1,"[""Metadata/Monsters/LeagueExpedition/Golem/ExpeditionSmallGolem""]","triggerer.Transition(); triggerer.DisableProximityTrigger();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",100,"",0,""
119,28752,0,[],500,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,1,1,"[""Metadata/Monsters/Spiders/DelveSpiderPacksEmergeDrop_""]","triggerer.DisableProximityTrigger(); triggerer.DelayRandom( 0.2, 0.7, { Transition(); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",100,"",0,""
120,29064,0,[],500,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/AtlasInvaders/BlackStarMonsters/BlackStarFodder2""]","triggerer.SetStateTo( howled, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",100,"",0,""
121,29290,0,[],0,3,2,130,1,1,6,2,100,"",[],"",1,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/AtlasInvaders/ConsumeMonsters/ConsumeBossWallBlock1"",""Metadata/Monsters/AtlasInvaders/ConsumeMonsters/ConsumeBossWallBlock2"",""Metadata/Monsters/AtlasInvaders/ConsumeMonsters/ConsumeBossWallBlock3"",""Metadata/Monsters/AtlasInvaders/ConsumeMonsters/ConsumeBossWallBlock4""]","triggerer.IfState( spawn_protected, 0, { SetStateTo( block, 0 ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
122,30042,0,[],0,1,2,20,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( archnemesis_greed_debuff, 10,  20, -10 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
123,30176,0,[6498],550,1,2,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",1,2,"",1,[],"triggerer.If( this.owner == triggerer, {}, { IfStat( monster_rarity, 3, { AddBuff( monster_mod_rejuvenation, 2, 300 ); }, { AddBuff( monster_mod_rejuvenation, 4, 330 ); } ); } );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",33,"",0,""
124,30562,0,[],550,1,2,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","","",2,"",5,1,"",1,[],"triggerer.AddBuff( monster_mod_rejuvenation_debuff, 4, -60);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",33,"",0,""
125,30696,0,[],0,2,2,100,0,1,6,2,10,1,[],"",3,0,4,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( harvest_cat_grasping_vines_buff, infinity, -5, 10, 7, 0 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",120,""
126,30864,0,[6983],600,1,2,110,0,1,13,13,0,"",[],"",3,10,7,0,0,"","","",2,"",1,2,1,1,[],"\t\ttriggerer.IfStat( is_hidden_monster, 0,\r\n\t\t{/*\r\n\t\t\tIfStat( is_totem_object, 0,\r\n\t\t\t{\r\n\t\t\t\tIf( this.dont_dupe != 1,\r\n\t\t\t\t{\r\n\t\t\t\t\tthis.dont_dupe = 1;\r\n\t\t\t\t\tthis.clone = CreateClone( this, copy_mods:true, disable_drops:false );\r\n\t\t\t\t\tthis.clone.dont_dupe = 1;\r\n\t\t\t\t\tthis.clone.SetLocation( FindRandomLocationNearLocation( 5, 25, this.GetLocation() ) );\r\n\t\t\t\t\tthis.clone.AddStat( dropped_items_are_duplicated, 1 );\r\n\t\t\t\t\tthis.clone.AddMonsterExplicitMod( MonsterTagMirrored );\r\n\t\t\t\t\tthis.clone.PlayEffect( LakeKalandraDuplicateSpawnIn );\r\n\t\t\t\t} );\r\n\t\t\t} );\r\n\t\t*/} );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",100,"",0,""
127,32022,0,[],0,2,2,100,0,1,6,2,10,1,[],"",3,0,4,0,0,"","","",2,"",5,3,"",1,[],"triggerer.AddBuff( cover_in_ash, 6, -20, 20 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",120,""
128,32032,0,[],400,1,2,90,0,1,13,13,0,"",[],"",1,0,7,0,0,"","","",2,"",5,2,"",1,"[""Metadata/Monsters/LeagueSanctum/Fodder/GargoyleMediumEmerge_""]","triggerer.SetStateTo( statue, 1);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,"",[],"",0,"",0,""
129,32244,0,[5327],600,1,2,40,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",4,"[""Metadata/Effects/Spells/ground_effects/living_blood/LivingBlood""]","TriggerSkill(SummonSpecificMonsters); triggerer.KillSelf();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",8,1,[4391028],"",0,"",0,""
130,32532,0,[5332],1200,1,2,50,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,4,"",2,"[""Metadata/Monsters/Urchins/SlingUrchin1"",""Metadata/Monsters/Urchins/MeleeUrchin1""]","IfAlive( { TriggerSkill(ReviveSkeleton, triggerer); triggerer.AddBuff( hag_revive, infinity, 30 ); } );","[6684745,7077953,7733353,2621541,8060960,7602208,6881394,6750311,7471205,7471205,4259886,6553700,6684741,6619238,7602275,6357072,7012451,5373992,7733349,7733353,4784229,5242990,7274610,7471207,7536741,4522099,6684774,6488165,2687092,2097211]","","",0,1,[4391028],"",0,"",0,""
131,33078,0,[],3000,1,2,150,0,1,13,13,0,1,[],"",1,0,7,0,0,"","this.howltarget = FindNearestPlayer( 100 );",1,2,"",5,2,"",1,"[""Metadata/Monsters/Wolves/RottenWolf1"",""Metadata/Monsters/Wolves/FungalWolf1"",""Metadata/Monsters/Werewolves/WerewolfPack1"",""Metadata/Monsters/Werewolves/WerewolfProwler1"",""Metadata/Monsters/Werewolves/WerewolfProwlerRed1""]","triggerer.howltarget = this.howltarget; triggerer.DoAction(EmptyActionSpell, howltarget); AddBuff( synthesis_reduced_aggro, infinity, 50 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",6,1,[4391028],"",0,"",0,""
132,33936,0,[5372],800,1,2,100,0,1,13,13,0,1,[],"",1,0,7,0,0,"","this.howltarget = FindNearestPlayer( 100 );",1,2,"",5,2,"",1,"[""Metadata/Monsters/FungusZombie/FungusZombieFat"",""Metadata/Monsters/FungusZombie/FungusZombieHood_"",""Metadata/Monsters/FungusZombie/FungusZombieHoodPhysics_"",""Metadata/Monsters/FungusZombie/FungusZombieHeadless"",""Metadata/Monsters/FungusZombie/FungusZombieHeadlessPhysics"",""Metadata/Monsters/FungusZombie/FungusZombieTree__"",""Metadata/Monsters/FungusZombie/FungusZombieTreePhysics"",""Metadata/Monsters/FungusZombie/FungusZombieMass"",""Metadata/Monsters/FungusZombie/FungusZombieMassPhysics_"",""Metadata/Monsters/FungusZombie/FungusZombieMedium"",""Metadata/Monsters/FungusZombie/FungusZombieMediumPhysics"",""Metadata/Monsters/FungusZombie/FungusZombieLarge"",""Metadata/Monsters/FungusZombie/FungusZombieLargePhysics_"",""Metadata/Monsters/Skeletons/FungalSkeletonUnarmed""]","triggerer.ChangeStance( stance2 ); triggerer.DoAction(Melee, howltarget);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
133,35724,0,[],800,1,2,100,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,1,"",1,[],"triggerer.AddBuff(debuff_fungal_howl, 3, -30);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
134,35832,0,[],0,1,2,70,0,1,13,13,0,1,[],"",1,0,7,0,0,"","",1,2,"",5,2,"",1,"[""Metadata/Monsters/Monkeys/Bramble/BrambleMonkey1""]","triggerer.AddBuff( bramble_hulk_enrage, 10, 15, 15, 100 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
135,36072,0,[5398],0,1,4,25,0,1,13,13,0,1,[],"",1,0,7,0,0,1,"",1,2,"",1,2,"",2,"[""Metadata/Monsters/Ghouls/Ghoul"",""Metadata/Monsters/Ghouls/Ghoul2""]","TriggerSkill(ReviveSkeleton, triggerer);","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
136,36330,0,[],2000,1,2,120,0,1,13,13,0,1,[],"",2,16,7,0,0,"","",1,2,"",5,2,1,1,"[""Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordQuest"",""Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierOneHandSwordShieldQuest"",""Metadata/Monsters/SkeletonSoldier/Rusted/RustedSoldierBowQuest""]","triggerer.Transition();","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
137,36798,0,[],750,3,3,100,35,1,3,2,0,1,[],"",1,0,4,0,0,"","",1,2,"",5,4,1,4,"[""Metadata/Monsters/MudBurrower/MudBurrowerBodyBoss""]","triggerer.SetStateTo( fight, 1 );","[0,7471220,6750313,6619239,6619250,3014770,5046341,2621520,3014706,2687029,59,3276800,0,6619213,6357108,6357092,6357108,5046319,7209071,7602291,7471205,3080307,6619212,6750305,6619253,6619204,7733356,3080293,6881347,7929972]","","",0,1,[4391028],"",0,"",0,""
