"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","[rid]_117","bool_133","[rid]_134","bool_150","[rid]_151"
193,"CharmChargesUsed","[Charm] Charges used modifier","Modificateur de Charges de [Charm|Charme] utilisées","[Charm|Phiole]: Modifikator für benutzte Füllungen","[Charm|チャーム]チャージ消費モッド","[Charm|호신부] 사용 충전 속성","Modificador de cargas usadas pelos [Charm|Patuá]","Модификатор используемых зарядов [Charm|оберега]","Modificador de las cargas usadas por los [Charm|viales]","ม็อดการใช้ชาร์จ ของ[Charm|ของขลัง]","[Charm|護符]充能使用數修正",[20258],7,[],[],40,1,[],0,[],"",[],"",[]
194,"CharmChargesGained","[Charm] Charges gained modifier","Modificateur de gain de Charges de [Charm|Charme]","[Charm|Phiole]: Modifikator für erhaltene Füllungen","[Charm|チャーム]チャージ獲得モッド","[Charm|호신부] 충전량 속성","Modificador de cargas ganhas pelos [Charm|Patuá]","Модификатор получаемых зарядов [Charm|оберега]","Modificador de las cargas ganadas por los [Charm|viales]","ม็อดการได้รับชาร์จ ของ[Charm|ของขลัง]","[Charm|護符]充能獲得數修正",[20259],7,[],[],40,1,[],0,[],"",[],"",[]
195,"CharmChargesPerSecond","[Charm] Charges gained per second","Charges de [Charm|Charme] gagnées par seconde","[Charm|Phiole]: Erhaltene Füllungen pro Sekunde","秒間[Charm|チャーム]チャージ獲得","1초당 [Charm|호신부] 충전량","Cargas de [Charm|Patuás] ganhas por segundo","Количество получаемых зарядов [Charm|оберега] в секунду","Cargas de [Charm|viales] ganadas por segundo","ชาร์จ[Charm|ของขลัง]ที่ได้รับ ต่อวินาที","每秒[Charm|護符]充能獲得數",[19759],0,[],[],40,1,[2],0,[],"",[],"",[]
196,"MaxPowerCharges","Maximum [Charges|Power Charges]","Maximum de [Charges|Charges de pouvoir]","Maximale [Charges|Energie-Ladungen]","[Charges|パワーチャージ]最大数","[Charges|권능 충전] 최대치","Máximo de [Charges|Cargas de Poder]","Максимум [Charges|зарядов энергии]","Máximo de [Charges|cargas de poder]","[Charges|Power Charge] สูงสุด","最大[Charges|暴擊球]",[2600],0,[],[],41,1,[],0,[],"",[],"",[]
197,"MaxFrenzyCharges","Maximum [Charges|Frenzy Charges]","Maximum de [Charges|Charges de frénésie]","Maximale [Charges|Raserei-Ladungen]","[Charges|フレンジーチャージ]最大数","[Charges|격분 충전] 최대치","Máximo de [Charges|Cargas de Frenesi]","Максимум [Charges|зарядов ярости]","Máximo de [Charges|cargas de frenesí]","[Charges|Frenzy Charge] สูงสุด","最大[Charges|狂怒球]",[2599],0,[],[],41,1,[],0,[],"",[],"",[]
198,"MaxEnduranceCharges","Maximum [Charges|Endurance Charges]","Maximum de [Charges|Charges d'endurance]","Maximale [Charges|Widerstands-Ladungen]","[Charges|エンデュランスチャージ]最大数","[Charges|인내 충전] 최대치","Máximo de [Charges|Cargas de Tolerância]","Максимум [Charges|зарядов выносливости]","Máximo de [Charges|cargas de aguante]","[Charges|Endurance Charge] สูงสุด","最大[Charges|耐力球]",[2598],0,[],[],41,1,[],0,[],"",[],"",[]
199,"MaxFireInfusions","Maximum [Infusion|Fire Infusions]","Maximum d'[Infusion|Infusions de feu]","Maximale [Infusion|Feuer-Infusionen]","[Infusion|ファイヤーインフュージョン]最大数","최대 [Infusion|화염 주입]","Máximo de [Infusion|Infusões de Fogo]","Максимум [Infusion|насыщений огнём]","Máximo de [Infusion|infusiones de fuego]","สถานะ [Infusion|อาบพลังไฟ] สูงสุด","最大[Infusion|火焰灌注]",[21323],0,[21983],[],42,1,[],0,[],"",[],"",[]
200,"MaxColdInfusions","Maximum [Infusion|Cold Infusions]","Maximum d'[Infusion|Infusions de froid]","Maximale [Infusion|Kälte-Infusionen]","[Infusion|コールドインフュージョン]最大数","최대 [Infusion|냉기 주입]","Máximo de [Infusion|Infusões de Gelo]","Максимум [Infusion|насыщений холодом]","Máximo de [Infusion|infusiones de hielo]","สถานะ [Infusion|อาบพลังน้ำแข็ง] สูงสุด","最大[Infusion|冰冷灌注]",[21322],0,[21983],[],42,1,[],0,[],"",[],"",[]
201,"MaxLightningInfusions","Maximum [Infusion|Lightning Infusions]","Maximum d'[Infusion|Infusions de foudre]","Maximale [Infusion|Blitz-Infusionen]","[Infusion|ライトイングインフュージョン]最大数","최대 [Infusion|번개 주입]","Máximo de [Infusion|Infusões de Raio]","Максимум [Infusion|насыщений молнией]","Máximo de [Infusion|infusiones de rayo]","สถานะ [Infusion|อาบพลังสายฟ้า] สูงสุด","最大[Infusion|閃電灌注]",[21324],0,[21983],[],42,1,[],0,[],"",[],"",[]
202,"MaxChaosInfusions","Maximum [ChaosInfusion|Chaos Infusions]","Maximum d'[ChaosInfusion|Infusions de chaos]","Maximale [Infusion|Chaos-Infusionen]","[ChaosInfusion|カオスインフュージョン]最大数","최대 [ChaosInfusion|카오스 주입]","Máximo de [ChaosInfusion|Infusões de Caos]","Максимум [Infusion|насыщений хаосом]","Máximo de [ChaosInfusion|infusiones de caos]","สถานะ [Infusion|อาบพลังเคออส] สูงสุด","最大[ChaosInfusion|混沌灌注]",[21325],0,[21983],[],42,1,[],0,[],"",[],"",[]
203,"Presence","[Presence] range","Portée de [Presence|Présence]","[Presence|Präsenz]-Reichweite","[Presence|存在感]範囲","[Presence|접근] 범위","Alcance da [Presence|Presença]","Радиус [Presence|присутствия ]","Alcance de la [Presence|presencia]","[Presence|ระยะปรากฏกาย]","當前[Presence|存在範圍]",[18626],0,[14902],[],43,1,[],0,[],"",[],"",[]
204,"MoveSpeed","Movement speed modifier","Modificateur de Vitesse de déplacement","Modifikator für Bewegungsgeschwindigkeit","移動スピードモッド","이동 속도 속성","Modificador da Velocidade de Movimento","Модификатор скорости передвижения","Modificador de la velocidad de movimiento","ม็อดความเร็วในการเคลื่อนที่","移動速度修正",[235],7,[],[],43,1,[16],0,[],"",[],"",[]
205,"WeaponSwapDuration","Weapon Swap Time","Temps de Permutation d'armes","Waffen-Wechselzeit","武器交換時間","무기 교체 시간","Tempo de Troca de Armas","Время смены оружия","Tiempo del intercambio de armas","เวลาในการสลับอาวุธ","武器切換時間",[22290],9,[],[],43,"",[13],0,[],"",[],"",[]
206,"EnemyCritReduce","Enemy [CriticalDamageBonus|Critical Damage Bonus]","[CriticalDamageBonus|Bonus de Dégâts critiques] ennemi","Gegnerischer [CriticalDamageBonus|kritischer Schadensbonus]","敵の[CriticalDamageBonus|クリティカルダメージボーナス]","적 [CriticalDamageBonus|치명타 피해 보너스]","[CriticalDamageBonus|Bônus do Dano Crítico] dos inimigos","[CriticalDamageBonus|Бонус к критическому урону] врага","[CriticalDamageBonus|Bonificación de daño crítico] de los enemigos","[CriticalDamageBonus|โบนัสความเสียหายคริติคอล]ของศัตรู","敵人[CriticalDamageBonus|暴擊傷害加成]",[279],7,[],[],43,1,[],0,[],"",[],"",[]
207,"Experience","Experience gain modifier","Modificateur de Gain d'expérience","Modifikator für Erfahrungsgewinn","獲得経験値モッド","경험치 획득 속성","Modificador de ganho de Experiência","Модификатор получаемого опыта","Modificador de la experiencia ganada","ม็อดค่าประสบการณ์ที่ได้รับ","獲得經驗修正",[151],7,[],[],43,1,[],0,[],"",[],"",[]
208,"ExplodeOnLowLifeDamage","[Fire] damage from Life for [LowLife|Low Life] explosion","Dégâts de [Fire|Feu] provenant de la Vie pour l'explosion en [LowLife|Vie basse]","[Fire|Feuer]schaden durch Leben für Explosion bei [LowLife|niedrigem Leben]","[LowLife|低ライフ]時爆発によるライフからの[Fire|火]ダメージ","[LowLife|낮은 생명력] 폭발에 대해 생명력에서 [Fire|화염] 피해","Dano de [Fire|Fogo] vindo da Vida para explosão em [LowLife|Vida Baixa] ","Урон от [Fire|огня] от здоровья при взрыве при [LowLife|малом количестве здоровья]","Daño de [Fire|fuego] de la vida para la explosión de [LowLife|vida baja]","ความเสียหาย [Fire|ไฟ] จากพลังชีวิต สำหรับการระเบิดเมื่อ [LowLife|พลังชีวิตเหลือน้อย]","[LowLife|貧血狀態]爆炸時，來自生命的[Fire|火焰]傷害",[700],1,[],[],43,1,[],0,[],"",[],"",[]
209,"InfernalHoundIgnite","","","","","","","","","","","[20909,20908]",12,[],[],43,1,[],0,[],"",[],"",[]
210,"DPSComparison","Damage per second","Dégâts par seconde","Schaden pro Sekunde","秒間ダメージ","DPS","Dano por segundo","Урон в секунду","Daño por segundo","ความเสียหายต่อวินาที","每秒傷害",[688],0,[],[2083],44,1,[14],0,[],"",[],"",[]
211,"SkillDPS","","","","","","","","","","",[688],12,[],"[2083,1196]",1,1,[],0,[],1,[],1,[]
212,"SkillDamagePerUse","","","","","","","","","","",[1985],12,[],"[1196,20352]",1,1,[],0,[],1,[],1,[]
213,"MH_TotalDamage","","","","","","","","","","","[653,654]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
214,"MH_PhysicalDamage","","","","","","","","","","","[269,270]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
215,"MH_FireDamage","","","","","","","","","","","[257,258]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
216,"MH_ColdDamage","","","","","","","","","","","[253,254]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
217,"MH_LightningDamage","","","","","","","","","","","[261,262]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
218,"MH_ChaosDamage","","","","","","","","","","","[265,266]",12,[7242],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
219,"OH_TotalDamage","","","","","","","","","","","[655,656]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
220,"OH_PhysicalDamage","","","","","","","","","","","[271,272]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
221,"OH_FireDamage","","","","","","","","","","","[259,260]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
222,"OH_ColdDamage","","","","","","","","","","","[255,256]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
223,"OH_LightningDamage","","","","","","","","","","","[263,264]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
224,"OH_ChaosDamage","","","","","","","","","","","[267,268]",12,[7243],"[1196,424,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
225,"Spell_TotalDamage","","","","","","","","","","","[657,658]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
226,"Spell_PhysicalDamage","","","","","","","","","","","[251,252]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
227,"Spell_FireDamage","","","","","","","","","","","[245,246]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
228,"Spell_ColdDamage","","","","","","","","","","","[243,244]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
229,"Spell_LightningDamage","","","","","","","","","","","[247,249]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
230,"Spell_ChaosDamage","","","","","","","","","","","[248,250]",12,[424],"[1196,1633,22394,20352]",1,1,[],0,[],1,[],1,[]
231,"Secondary_TotalDamage","","","","","","","","","","","[1634,1635]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
232,"Secondary_PhysicalDamage","","","","","","","","","","","[715,716]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
233,"Secondary_FireDamage","","","","","","","","","","","[719,720]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
234,"Secondary_ColdDamage","","","","","","","","","","","[717,718]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
235,"Secondary_LightningDamage","","","","","","","","","","","[721,722]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
236,"Secondary_ChaosDamage","","","","","","","","","","","[723,724]",12,[1633],"[1196,20352,22394]",1,1,[],0,[],1,[],1,[]
237,"Secondary_UnscalableFromBloodLoss","","","","","","","","","","",[18170],12,[1633],[20352],1,1,[],0,[],1,[],1,[]
238,"SkillThorns_TotalDamage","","","","","","","","","","","[20398,20399]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
239,"SkillThorns_PhysicalDamage","","","","","","","","","","","[20371,20372]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
240,"SkillThorns_FireDamage","","","","","","","","","","","[20375,20376]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
241,"SkillThorns_ColdDamage","","","","","","","","","","","[20373,20374]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
242,"SkillThorns_LightningDamage","","","","","","","","","","","[20377,20378]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
243,"SkillThorns_ChaosDamage","","","","","","","","","","","[20379,20380]",12,[22394],"[1196,20352]",1,1,[],0,[],1,[],1,[]
244,"SkillThorns_CritChance","","","","","","","","","","",[20384],12,[22394],"[20352,2756]",1,1,[],0,"[20398,20399]",1,[],1,[]
245,"SkillThorns_CritChanceEffectice","","","","","","","","","","",[22102],12,[22394],"[20352,2756]",1,1,[],0,"[20398,20399]",1,[],1,[]
246,"SkillThorns_CritDamage","","","","","","","","","","",[20381],12,"[22394,22102]","[1196,20352,2756]",1,1,[],0,"[20398,20399]",1,[],1,[]
247,"MH_FirePenetration","","","","","","","","","","",[13576],12,[7242],"[424,20352]",1,1,[],0,"[257,258]",1,[],1,[]
248,"MH_ColdPenetration","","","","","","","","","","",[13577],12,[7242],[424],1,1,[],0,"[253,254]",1,[],1,[]
249,"MH_LightningPenetration","","","","","","","","","","",[13578],12,[7242],"[424,20352]",1,1,[],0,"[261,262]",1,[],1,[]
250,"MH_ChaosPenetration","","","","","","","","","","",[13586],12,[7242],"[424,20352]",1,1,[],0,"[265,266]",1,[],1,[]
251,"OH_FirePenetration","","","","","","","","","","",[13579],12,[7243],"[424,20352]",1,1,[],0,"[259,260]",1,[],1,[]
252,"OH_ColdPenetration","","","","","","","","","","",[13580],12,[7243],"[424,20352]",1,1,[],0,"[255,256]",1,[],1,[]
253,"OH_LightningPenetration","","","","","","","","","","",[13581],12,[7243],"[424,20352]",1,1,[],0,"[263,264]",1,[],1,[]
254,"OH_ChaosPenetration","","","","","","","","","","",[13587],12,[7243],"[424,20352]",1,1,[],0,"[267,268]",1,[],1,[]
255,"FirePenetration","","","","","","","","","","",[580],12,[],[20352],1,1,[],0,"[245,246,719,720]",1,[],1,[]
256,"ColdPenetration","","","","","","","","","","",[579],12,[],[20352],1,1,[],0,"[243,244,717,718]",1,[],1,[]
257,"LightningPenetration","","","","","","","","","","",[581],12,[],[20352],1,1,[],0,"[247,249,721,722]",1,[],1,[]
258,"ChaosPenetration","","","","","","","","","","",[586],12,[],[20352],1,1,[],0,"[248,250,723,724]",1,[],1,[]
259,"PhysicalDamageOverTime","","","","","","","","","","",[7627],12,[],"[1196,605]",1,1,[],0,[],1,[],1,[]
260,"FireDamageOverTime","","","","","","","","","","",[7631],12,[],"[1196,605]",1,1,[],0,[],1,[],1,[]
261,"ColdDamageOverTime","","","","","","","","","","",[7636],12,[],"[1196,605]",1,1,[],0,[],1,[],1,[]
262,"LightningDamageOverTime","","","","","","","","","","",[7640],12,[],"[1196,605]",1,1,[],0,[],1,[],1,[]
263,"ChaosDamageOverTime","","","","","","","","","","",[7644],12,[],"[1196,605]",1,1,[],0,[],1,[],1,[]
264,"PhysicalDamageOverTimeArea","","","","","","","","","","",[7629],12,[605],[1196],1,1,[],0,[],1,[],1,[]
265,"FireDamageOverTimeArea","","","","","","","","","","",[7633],12,[605],[1196],1,1,[],0,[],1,[],1,[]
266,"ColdDamageOverTimeArea","","","","","","","","","","",[7638],12,[605],[1196],1,1,[],0,[],1,[],1,[]
267,"LightningDamageOverTimeArea","","","","","","","","","","",[7642],12,[605],[1196],1,1,[],0,[],1,[],1,[]
268,"ChaosDamageOverTimeArea","","","","","","","","","","",[7646],12,[605],[1196],1,1,[],0,[],1,[],1,[]
269,"MHAftershockChanceSlam","","","","","","","","","","",[19909],12,"[11219,7242]",[],1,1,[],0,[],1,[],1,[]
270,"MHAftershockChanceNonSlam","","","","","","","","","","",[20123],12,[7242],[11219],1,1,[],0,[],1,[],1,[]
271,"OHAftershockChanceSlam","","","","","","","","","","",[19910],12,"[11219,7243]",[],1,1,[],0,[],1,[],1,[]
272,"OHAftershockChanceNonSlam","","","","","","","","","","",[20124],12,[7243],[11219],1,1,[],0,[],1,[],1,[]
273,"SlamAdditionalAftershockChance1","","","","","","","","","","",[21593],12,[11219],[],1,1,[],0,[],1,[],1,[]
274,"SlamAdditionalAftershockChance2","","","","","","","","","","",[21594],12,[11219],[],1,1,[],0,[],1,[],1,[]
275,"SlamAdditionalAftershockChance3","","","","","","","","","","",[21595],12,[11219],[],1,1,[],0,[],1,[],1,[]
276,"SlamAdditionalFissures","","","","","","","","","","",[20525],12,[],[],1,1,[],0,[],1,[],1,[]
277,"DamageVsImmobilised","","","","","","","","","","",[18401],12,[],[1196],1,1,[],0,[],1,[],1,[]
278,"DamageFromDashDistance","","","","","","","","","","",[18149],12,[],[1196],1,1,[],0,[],1,[],1,[]
279,"AttackTime","","","","","","","","","","",[21093],12,[],"[424,1633,7722,20688]",2,1,[],0,[],1,[],1,[]
280,"APS","","","","","","","","","","",[687],12,[],"[424,1633,7722,20688,1986]",2,1,[],0,[],1,[],1,[]
281,"CastTime","","","","","","","","","","",[21094],12,[424],"[1633,7722,20688]",2,1,[],0,[],1,[],1,[]
282,"CPS","","","","","","","","","","",[691],12,[424],"[1633,7722,20688,1986]",2,1,[],0,[],1,[],1,[]
283,"UseTime","","","","","","","","","","",[21095],12,[],"[2863,424,7722,20688]",2,1,[],0,[],1,[],1,[]
284,"Cooldown","","","","","","","","","","",[21092],12,[],[20688],2,1,[],0,[],1,[],1,[]
285,"CooldownCount","","","","","","","","","","",[17618],12,[],[20688],2,1,[],0,[],1,[],1,[]
286,"LifeLossOnSkilluse","","","","","","","","","","",[20664],12,[],[],2,1,[],0,[],1,[],1,[]
287,"TriggerGemMaximumEnergy","","","","","","","","","","",[20718],12,[],[],2,1,[],0,[],1,[],1,[]
288,"CastOnShockEnergy","","","","","","","","","","",[18183],12,[],[],2,1,[],0,[],1,[],1,[]
289,"CastOnFreezeEnergy","","","","","","","","","","",[18184],12,[],[],2,1,[],0,[],1,[],1,[]
290,"CastOnIgniteEnergy","","","","","","","","","","",[18185],12,[],[],2,1,[],0,[],1,[],1,[]
291,"CastOnMeleeKillEnergy","","","","","","","","","","",[18186],12,[],[],2,1,[],0,[],1,[],1,[]
292,"CastWhenStunnedEnergy","","","","","","","","","","",[18188],12,[],[],2,1,[],0,[],1,[],1,[]
293,"CastOnDamageTakenEnergy","","","","","","","","","","",[18189],12,[],[],2,1,[],0,[],1,[],1,[]
294,"CastOnCritEnergy","","","","","","","","","","",[18190],12,[],[],2,1,[],0,[],1,[],1,[]
295,"CastOnDodgeEnergy","","","","","","","","","","",[18300],12,[],[],2,1,[],0,[],1,[],1,[]
296,"CastOnMinionDeathEnergy","","","","","","","","","","",[19063],12,[],[],2,1,[],0,[],1,[],1,[]
297,"CastWhileChannellingEnergy","","","","","","","","","","",[18304],12,[],[],2,1,[],0,[],1,[],1,[]
298,"CastOnMeleeStunEnergy1","","","","","","","","","","",[18306],12,[],[],2,1,[],0,[],1,[],1,[]
299,"CastOnMeleeStunEnergy2","","","","","","","","","","",[18307],12,[],[],2,1,[],0,[],1,[],1,[]
300,"CastOnCharmEnergy","","","","","","","","","","",[21552],12,[],[],2,1,[],0,[],1,[],1,[]
301,"BarrierInvocationEnergy","","","","","","","","","","",[18286],12,[],[],2,1,[],0,[],1,[],1,[]
302,"ElementalInvocationEnergy1","","","","","","","","","","",[20112],12,[],[],2,1,[],0,[],1,[],1,[]
303,"ElementalInvocationEnergy2","","","","","","","","","","",[20113],12,[],[],2,1,[],0,[],1,[],1,[]
304,"ElementalInvocationEnergy3","","","","","","","","","","",[20114],12,[],[],2,1,[],0,[],1,[],1,[]
305,"MeleeKillInvocationEnergy","","","","","","","","","","",[20324],12,[],[],2,1,[],0,[],1,[],1,[]
306,"CastOnBlockEnergy","","","","","","","","","","",[20476],12,[],[],2,1,[],0,[],1,[],1,[]
307,"TriggerGemEnergyGainModifier","","","","","","","","","","",[19427],12,[],[],2,1,[],0,[],1,[],1,[]
308,"MH_CritChance","","","","","","","","","","",[538],12,[7242],"[424,1633,20352,1196,2756,18603]",5,1,[],0,[],1,[],1,[]
309,"MH_CritChanceEffective","","","","","","","","","","",[22098],12,[7242],"[424,1633,20352,1196,2756]",5,"",[],0,[],1,[],1,[538]
310,"MH_DoubleCritChanceEffective","","","","","","","","","","",[22103],12,[7242],"[424,1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[]
311,"MH_AddedCritChanceFromHitChance","","","","","","","","","","","[22417,22415]",12,[7242],"[424,1633,20352,1196,2756,18603]",5,1,[],0,[],"",[],"",[]
312,"OH_CritChance","","","","","","","","","","",[539],12,[7243],"[424,1633,20352,1196,2756,18603]",5,1,[],0,[],1,[],1,[]
313,"OH_CritChanceEffective","","","","","","","","","","",[22099],12,[7243],"[424,1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[539]
314,"OH_DoubleCritChanceEffective","","","","","","","","","","",[22104],12,[7243],"[424,1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[]
315,"OH_AddedCritChanceFromHitChance","","","","","","","","","","","[22418,22416]",12,[7243],"[424,1633,20352,1196,2756,18603]",5,1,[],0,[],"",[],"",[]
316,"Spell_CritChance","","","","","","","","","","",[540],12,[424],"[1633,20352,1196,2756,8891]",5,1,[],0,[],1,[],1,[]
317,"Spell_CritChanceEffective","","","","","","","","","","",[22100],12,[424],"[1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[540]
318,"CritChance","","","","","","","","","","",[726],12,[1633],"[20352,1196,2756,8891]",5,1,[],0,[],1,[],1,[]
319,"Secondary_CritChanceEffective","","","","","","","","","","",[22101],12,[1633],"[20352,1196,2756]",5,1,[],0,[],1,[],1,[726]
320,"CritVsImmobilised","","","","","","","","","","",[20676],12,[],"[20352,1196,2756]",5,1,[],0,[],1,[],1,[]
321,"MH_CritMulti","","","","","","","","","","",[594],12,"[7242,22098]","[424,1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[]
322,"OH_CritMulti","","","","","","","","","","",[595],12,"[7243,22099]","[424,1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[]
323,"Spell_CritMulti","","","","","","","","","","",[596],12,"[424,22100]","[1633,20352,1196,2756]",5,1,[],0,[],1,[],1,[]
324,"CritMulti","","","","","","","","","","",[725],12,"[1633,22101]","[20352,1196,2756]",5,1,[],0,[],1,[],1,[]
325,"CritMultiVsFullLife","","","","","","","","","","",[3486],12,[],"[20352,1196,2756]",5,1,[],0,[],1,[],1,[]
326,"MH_Accuracy","","","","","","","","","","",[282],12,[7242],"[424,1633,1196,20352,697]",6,1,[],0,[],1,[],1,[]
327,"OH_Accuracy","","","","","","","","","","",[283],12,[7243],"[424,1633,1196,20352,698]",6,1,[],0,[],1,[],1,[]
328,"MH_HitChanceMinRange","","","","","","","","","","","[659,667,681]",12,"[7242,2863]","[1633,2899,681]",6,"",[],0,[],"",[],"",[]
329,"MH_HitChanceMidRange","","","","","","","","","","","[661,666,682]",12,"[7242,2863,666]","[1633,2899,682]",6,"",[],0,[],"",[],"",[]
330,"MH_HitChanceMaxRange","","","","","","","","","","","[663,665,683]",12,"[7242,2863,665]","[1633,2899,683]",6,"",[],0,[],"",[],"",[]
331,"OH_HitChanceMinRange","","","","","","","","","","","[660,670,681]",12,"[7243,2863]","[1633,2899,681]",6,"",[],0,[],"",[],"",[]
332,"OH_HitChanceMidRange","","","","","","","","","","","[662,669,682]",12,"[7243,2863,669]","[1633,2899,682]",6,"",[],0,[],"",[],"",[]
333,"OH_HitChanceMaxRange","","","","","","","","","","","[664,668,683]",12,"[7243,2863,668]","[1633,2899,683]",6,"",[],0,[],"",[],"",[]
334,"MH_BleedingChance","","","","","","","","","","",[6135],12,[7242],"[424,2634,1633,20352]",7,1,[],0,[],1,[],1,[]
335,"MH_BleedingDamage","","","","","","","","","","","[20580,20581]",12,[7242],[1196],7,1,[],0,"[6135,20291,2320,2322]",1,[],1,[]
336,"OH_BleedingChance","","","","","","","","","","",[6136],12,[7243],"[424,2634,1633,20352]",7,1,[],0,[],1,[],1,[]
337,"OH_BleedingDamage","","","","","","","","","","","[20582,20583]",12,[7243],[1196],7,1,[],0,"[6136,20291,2320,2323]",1,[],1,[]
338,"Spell_BleedingChance","","","","","","","","","","",[6137],12,[424],"[1633,20352,2634]",7,1,[],0,[],1,[],1,[]
339,"Spell_BleedingDamage","","","","","","","","","","","[20584,20585]",12,[424],"[1196,1633,20352,2634]",7,1,[],0,"[6137,20291]",1,[],1,[]
340,"Secondary_BleedingChance","","","","","","","","","","",[6138],12,[1633],"[20352,2634]",7,1,[],0,[],1,[],1,[]
341,"Secondary_BleedingDamage","","","","","","","","","","","[20586,20587]",12,[1633],"[1196,20352,2634]",7,1,[],0,"[6138,20291]",1,[],1,[]
342,"BleedingDuration","","","","","","","","","","",[21047],12,[],"[20352,2634]",7,1,[],0,"[6135,6136,6137,6138,20291]",1,[],1,[]
343,"MH_IgniteDamage","","","","","","","","","","","[20596,20597]",12,[7242],"[424,1633,1196,20352,10313]",7,1,[],0,[],1,[],1,[]
344,"OH_IgniteDamage","","","","","","","","","","","[20598,20599]",12,[7243],"[424,1633,1196,20352,10313]",7,1,[],0,[],1,[],1,[]
345,"Spell_IgniteDamage","","","","","","","","","","","[20600,20601]",12,[424],"[1196,1633,20352,10313]",7,1,[],0,[],1,[],1,[]
346,"Secondary_IgniteDamage","","","","","","","","","","","[20602,20603]",12,[1633],"[1196,20352,10313]",7,1,[],0,[],1,[],1,[]
347,"IgniteDuration","","","","","","","","","","",[21048],12,[],"[20352,10313]",7,1,[],0,"[20597,20599,20601,20603]",1,[],1,[]
348,"MH_ChillMagnitudeEstimate","Estimated main hand [Chill] [BuffMagnitude|Magnitude]","Estimation de l'[BuffMagnitude|Amplitude] de la [Chill|Frigorification] (Main principale)","Haupthand: Geschätzte [Chill|Unterkühlen]-[BuffMagnitude|Magnitude]","推定メインハンド[Chill|冷却][BuffMagnitude|強度]","예상 주 무기 [Chill|냉각] [BuffMagnitude|강도]","Estimativa da [BuffMagnitude|Magnitude] de [Chill|Resfriamento] na mão principal","Ожидаемая [BuffMagnitude|сила] [Chill|охлаждения] правой рукой","[BuffMagnitude|Magnitud] estimada del [Chill|escarchamiento] de la mano principal","[BuffMagnitude|จำนวนค่า]ของสถานะ [Chill|หนาวเย็น] ของมือหลัก โดยประมาณ","預期主手[Chill|冰緩][BuffMagnitude|幅度]","[22569,22570]",12,"[7242,22560]","[424,1633,1196,20352,8226]",7,1,[],0,[],1,[],1,[]
