"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]_100","[i32]_116","MiscAnimatedKey2","EnvironmentsKey","i32_164","Achievements","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool_216","i32_217"
62,"Golden2",5128,10,73,77,1740,"[5000,5000]",[1],[37428],[1],"[100,100,100,100]",5142,1274,6,[7582],"Opulent","Abondant","Opulent","富裕の","호화로운","Opulento","<if:MS>{Богатый}<elif:MP>{Богатые}<else>{Богатый}","Opulento","Opulent","富饒","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers","Les Monstres ont une puissante Augmentation de Quantité et de Rareté des objets cédés \nProjette des pluies de pièces maudites","Monster haben deutlich erhöhte Gegenstandsseltenheit und -menge\nEnthält verfluchte Münzenregen","モンスターが落とすアイテムのレアリティおよび数量が大幅に増加する \n呪われたコインの雨が降る","몬스터가 떨어뜨리는 아이템의 희귀도와 수량 크게 증가 \n저주받은 코인 벼락 등장","Monstros têm a Raridade e Quantidade de Itens amplamente aumentada \nContém chuvas de moedas","Редкость и количество выпадающих предметов значительно повышены \nДожди из проклятых монет","Los monstruos tienen cantidad y rareza de objetos muy aumentadas \nContiene lluvias de monedas malditas","มอนสเตอร์ มีระดับความหายากและจำนวนของไอเทม เพิ่มขึ้นเป็นอย่างมาก\nมีเหรียญต้องสาป โปรยปรายเป็นสายฝน","怪物大幅增加物品稀有度和數量\n內含被詛咒的撒幣",14,1,0
63,"Golden3",5128,10,78,100,1740,"[6000,6000]",[1],[37428],[1],"[100,100,100,100]",5142,1274,6,[7582],"Opulent","Abondant","Opulent","富裕の","호화로운","Opulento","<if:MS>{Богатый}<elif:MP>{Богатые}<else>{Богатый}","Opulento","Opulent","富饒","Monsters have greatly increased Item Rarity and Quantity \nContains cursed coin showers","Les Monstres ont une puissante Augmentation de Quantité et de Rareté des objets cédés \nProjette des pluies de pièces maudites","Monster haben deutlich erhöhte Gegenstandsseltenheit und -menge\nEnthält verfluchte Münzenregen","モンスターが落とすアイテムのレアリティおよび数量が大幅に増加する \n呪われたコインの雨が降る","몬스터가 떨어뜨리는 아이템의 희귀도와 수량 크게 증가 \n저주받은 코인 벼락 등장","Monstros têm a Raridade e Quantidade de Itens amplamente aumentada \nContém chuvas de moedas","Редкость и количество выпадающих предметов значительно повышены \nДожди из проклятых монет","Los monstruos tienen cantidad y rareza de objetos muy aumentadas \nContiene lluvias de monedas malditas","มอนสเตอร์ มีระดับความหายากและจำนวนของไอเทม เพิ่มขึ้นเป็นอย่างมาก\nมีเหรียญต้องสาป โปรยปรายเป็นสายฝน","怪物大幅增加物品稀有度和數量\n內含被詛咒的撒幣",14,1,0
64,"FireUber1",5053,10,68,72,1741,"[100,60]",[4],[37428],[1],"[100,100,100,100]",5147,1272,5,"[7583,7468]","Apocalyptic","Apocalyptique","Apokalyptisch","終末の","종말적인","Apocalíptico","<if:MS>{Судный}<elif:MP>{Судные}<else>{Судный}","Apocalíptico","Apocalyptic","天啟","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",1,1,0
65,"FireUber2",5053,10,73,77,1741,"[100,70]",[4],[37428],[1],"[100,100,100,100]",5147,1272,6,"[7583,7468]","Apocalyptic","Apocalyptique","Apokalyptisch","終末の","종말적인","Apocalíptico","<if:MS>{Судный}<elif:MP>{Судные}<else>{Судный}","Apocalíptico","Apocalyptic","天啟","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",1,1,0
66,"FireUber3",5053,10,78,100,1741,"[100,80]",[4],[37428],[1],"[100,100,100,100]",5147,1272,6,"[7583,7468]","Apocalyptic","Apocalyptique","Apokalyptisch","終末の","종말적인","Apocalíptico","<if:MS>{Судный}<elif:MP>{Судные}<else>{Судный}","Apocalíptico","Apocalyptic","天啟","Monsters deal extra Fire Damage and can Ignite \nMeteors fall from the sky","Les Monstres infligent des Dégâts de feu supplémentaires et peuvent Embraser \nInvoque des Météores tombant du ciel","Monster verursachen zusätzlichen Feuerschaden und können entzünden\nMeteore fallen vom Himmel","モンスターは追加の火ダメージを与え、発火を付与できる \n隕石が空から降り注ぐ","몬스터가 추가 화염 피해를 주고 점화 유발 \n하늘에서 유성 낙하","Monstros causam Dano de Fogo extra e podem incendiar \nMeteoros caem do céu","Монстры наносят дополнительный урон от огня и могут поджечь \nС неба падают метеоры","Los monstruos infligen daño de fuego extra y pueden quemar \nCaen meteoritos del cielo","มอนสเตอร์ สร้างความเสียหาย ไฟ เพิ่มเติมและสร้างสถานะ ลุกไหม้ ได้\nอุกกาบาต ตกจากฟากฟ้า","怪物造成額外火焰傷害並且可以造成點燃\n隕石從天而降",1,1,0
67,"ColdUber1",5054,10,68,72,1742,"[100,60]",[4],[37428],[1],"[100,100,100,100]",5148,1271,5,"[7584,7469]","Glacial","Polaire","Eisig","氷河の","빙하기의","Glacial","<if:MS>{Ледяной}<elif:MP>{Ледяные}<else>{Ледяной}","Glacial","Glacial","冰川","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",3,1,0
68,"ColdUber2",5054,10,73,77,1742,"[100,70]",[4],[37428],[1],"[100,100,100,100]",5148,1271,6,"[7584,7469]","Glacial","Polaire","Eisig","氷河の","빙하기의","Glacial","<if:MS>{Ледяной}<elif:MP>{Ледяные}<else>{Ледяной}","Glacial","Glacial","冰川","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",3,1,0
69,"ColdUber3",5054,10,78,100,1742,"[100,80]",[4],[37428],[1],"[100,100,100,100]",5148,1271,6,"[7584,7469]","Glacial","Polaire","Eisig","氷河の","빙하기의","Glacial","<if:MS>{Ледяной}<elif:MP>{Ледяные}<else>{Ледяной}","Glacial","Glacial","冰川","Monsters deal extra Cold Damage and can Freeze \nIcy Beams rotate","Les Monstres infligent des Dégâts de froid supplémentaires et peuvent Geler \nTire des Rayons de glace tournoyants","Monster verursachen zusätzlichen Kälteschaden und können einfrieren\nRotierende Strahlen aus Eis","モンスターは追加の冷気ダメージを与え、凍結を付与できる \n氷のビームが回転する","몬스터가 추가 냉기 피해를 주고 동결 유발 \n얼음 광선 회전","Monstros causam Dano de Gelo extra e podem Congelar \nRaios de Gelo giram","Монстры наносят дополнительный урон от холода и могут заморозить \nВращающиеся ледяные лучи ","Los monstruos infligen daño de hielo extra y pueden congelar \nLos haces de hielo rotan","มอนสเตอร์ สร้างความเสียหาย น้ำแข็ง เพิ่มเติมและสร้างสถานะ แช่แข็ง ได้\nลำแสงเย็นเยือก หมุนวนเวียน","怪物造成額外冰冷傷害並且可以造成冰凍\n冰凍旋轉光束",3,1,0
70,"LightningUber1",5129,10,68,72,1744,"[100,60]",[1],[37428],[1],"[100,100,100,100]",5149,1277,5,"[7585,7470]","Volatile","Instable","Unbeständig","ヴォラタイルの","폭발성의","Volátil","<if:MS>{Нестабильный}<elif:MP>{Нестабильные}<else>{Нестабильный}","Volátil","Volatile","易爆","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",8,1,0
71,"LightningUber2",5129,10,73,77,1744,"[100,70]",[1],[37428],[1],"[100,100,100,100]",5149,1277,6,"[7585,7470]","Volatile","Instable","Unbeständig","ヴォラタイルの","폭발성의","Volátil","<if:MS>{Нестабильный}<elif:MP>{Нестабильные}<else>{Нестабильный}","Volátil","Volatile","易爆","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",8,1,0
72,"LightningUber3",5129,10,78,100,1744,"[100,80]",[1],[37428],[1],"[100,100,100,100]",5149,1277,6,"[7585,7470]","Volatile","Instable","Unbeständig","ヴォラタイルの","폭발성의","Volátil","<if:MS>{Нестабильный}<elif:MP>{Нестабильные}<else>{Нестабильный}","Volátil","Volatile","易爆","Monsters deal extra Lightning Damage and can Shock \nSkull Spires fire Lightning orbs at each other","Les Monstres infligent des Dégâts de foudre supplémentaires et peuvent Électrocuter \nInvoque des Pylônes d'os qui s'envoient des Orbes de foudre entre eux","Monster verursachen zusätzlichen Blitzschaden und können schocken\nSchädelspitzen feuern Blitzsphären aufeinander","モンスターは追加の雷ダメージを与え、感電を付与できる \n髑髏の尖塔がお互いにライトニングオーブを放ち合う","몬스터가 추가 번개 피해를 주고 감전 유발 \n해골 첨탑이 서로에게 번개 구체 발사","Monstros causam Dano de Raio extra e podem Eletrizar \nEspirais de Crânios disparam orbes Relampejantes umas nas outras","Монстры наносят дополнительный урон от молнии и могут наложить шок \nБашни из черепов пускают друг в друга шаровые молнии","Los monstruos infligen daño de rayo extra y pueden electrocutar \nLas torres de calaveras se disparan orbes de rayo entre sí","มอนสเตอร์ สร้างความเสียหาย สายฟ้า เพิ่มเติมและสร้างสถานะ ช็อค ได้\nหัวกะโหลก ยิงลูกสายฟ้าหากันไปมา","怪物造成額外閃電傷害並且可以造成感電\n骷髏尖塔相互發射閃電球",8,1,0
73,"PhysicalBloodUber1",5131,10,68,72,1745,"[100,60]",[2],[37428],[1],"[100,100,100,100]",5150,1280,5,"[7586,7471]","Sanguine","Sanglant","Lebhaft","真紅の","혈액 과다의","Sanguinário","<if:MS>{Крепкий}<elif:MP>{Крепкие}<else>{Крепкий}","Sanguíneo","Sanguine","樂觀","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",16,1,0
74,"PhysicalBloodUber2",5131,10,73,77,1745,"[100,70]",[2],[37428],[1],"[100,100,100,100]",5150,1280,6,"[7586,7471]","Sanguine","Sanglant","Lebhaft","真紅の","혈액 과다의","Sanguinário","<if:MS>{Крепкий}<elif:MP>{Крепкие}<else>{Крепкий}","Sanguíneo","Sanguine","樂觀","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",16,1,0
75,"PhysicalBloodUber3",5131,10,78,100,1745,"[100,80]",[2],[37428],[1],"[100,100,100,100]",5150,1280,6,"[7586,7471]","Sanguine","Sanglant","Lebhaft","真紅の","혈액 과다의","Sanguinário","<if:MS>{Крепкий}<elif:MP>{Крепкие}<else>{Крепкий}","Sanguíneo","Sanguine","樂觀","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",16,1,0
76,"ChaosPurpleUber1",5055,10,68,72,1743,"[15,30]",[1],[37428],[1],"[100,100,100,100]",5151,1270,5,"[7587,7472]","Malevolent","Malfaisant","Boshaft","悪意の","심술궂은","Malevolente","<if:MS>{Злорадный}<elif:MP>{Злорадные}<else>{Злорадный}","Malévolo","Malevolent","惡意","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงโพรเจกไทล์เคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",5,1,0
77,"ChaosPurpleUber2",5055,10,73,77,1743,"[18,40]",[1],[37428],[1],"[100,100,100,100]",5151,1270,6,"[7587,7472]","Malevolent","Malfaisant","Boshaft","悪意の","심술궂은","Malevolente","<if:MS>{Злорадный}<elif:MP>{Злорадные}<else>{Злорадный}","Malévolo","Malevolent","惡意","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงโพรเจกไทล์เคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",5,1,0
78,"ChaosPurpleUber3",5055,10,78,100,1743,"[20,50]",[1],[37428],[1],"[100,100,100,100]",5151,1270,6,"[7587,7472]","Malevolent","Malfaisant","Boshaft","悪意の","심술궂은","Malevolente","<if:MS>{Злорадный}<elif:MP>{Злорадные}<else>{Злорадный}","Malévolo","Malevolent","惡意","Monsters deal extra Chaos Damage and can Wither \nAnomalies fire Chaos projectiles","Les Monstres infligent des Dégâts de chaos supplémentaires et peuvent appliquer Flétrissure \nInvoque des Anomalies qui envoient des Projectiles de chaos","Monster verursachen zusätzlichen Chaosschaden und können verkümmern\nAnomalien feuern Chaosprojektile","モンスターは追加の混沌ダメージを与え、衰弱を付与できる \nアノマリーが混沌の投射物を放つ","몬스터가 추가 카오스 피해를 주고 위축 유발 \n이형이 카오스 투사체 발사","Monstros causam Dano de Caos extra e podem Definhar \nAnomalias disparam projéteis de Caos","Монстры наносят дополнительный урон хаосом и могут Истощить \nАномалии испускают снаряды хаоса","Los monstruos infligen daño de caos extra y pueden marchitar \nLas anomalías disparan proyectiles de caos","มอนสเตอร์ สร้างความเสียหาย เคออส เพิ่มเติมและสร้างสถานะ เหี่ยวเฉา ได้\nสิ่งประหลาด ยิงโพรเจกไทล์เคออส","怪物造成額外混沌傷害並且可以造成凋零\n異類發射混沌投射物",5,1,0
79,"Nameless1",5055,0,68,72,1746,"[-30,20]",[4],[37428],[1],"[100,100,100,100]",5056,1187,5,[],"Nameless","Sans nom","Namenlos","名もなき","이름 없는","Inominado","<if:MS>{Безымянный}<elif:MP>{Безымянные}<else>{Безымянный}","Sin nombre","Nameless","無名","Monsters have reduced effect of Curses on them\nMonsters apply random Curses on Hit.","Les Effets des Malédictions sont réduits sur les Monstres\nLes Monstres appliquent des Malédictions aléatoires au Toucher.","Monster haben verringerte Wirkung von Flüchen auf sich\nMonster wenden bei Treffer zufällige Flüche an","モンスターは受けている呪いの効果が減少する\nモンスターはヒット時にランダムな呪いを付与する","몬스터에게 적용되는 저주의 효과가 감소합니다.\n몬스터가 명중 시 무작위 저주를 겁니다.","Monstros têm efeito de Maldições reduzido neles\nMonstros Aplicam uma Maldição aleatória ao Acertar.","Ослабление эффекта проклятий на монстрах\nМонстры накладывают случайное проклятие при ударе.","Los monstruos tienen el efecto de las maldiciones reducido sobre ellos\nLos monstruos aplican maldiciones aleatorias con cada golpe.","มอนสเตอร์ มีผลของคำสาปต่อมัน ลดลง\nมอนสเตอร์ สาปแบบสุ่ม เมื่อปะทะ","怪物身上的詛咒效果減少\n怪物擊中時套用隨機詛咒。",6,1,1
80,"Nameless2",5055,0,73,77,1746,"[-40,20]",[4],[37428],[1],"[100,100,100,100]",5056,1187,6,[],"Nameless","Sans nom","Namenlos","名もなき","이름 없는","Inominado","<if:MS>{Безымянный}<elif:MP>{Безымянные}<else>{Безымянный}","Sin nombre","Nameless","無名","Monsters have reduced effect of Curses on them\nMonsters apply random Curses on Hit.","Les Effets des Malédictions sont réduits sur les Monstres\nLes Monstres appliquent des Malédictions aléatoires au Toucher.","Monster haben verringerte Wirkung von Flüchen auf sich\nMonster wenden bei Treffer zufällige Flüche an","モンスターは受けている呪いの効果が減少する\nモンスターはヒット時にランダムな呪いを付与する","몬스터에게 적용되는 저주의 효과가 감소합니다.\n몬스터가 명중 시 무작위 저주를 겁니다.","Monstros têm efeito de Maldições reduzido neles\nMonstros Aplicam uma Maldição aleatória ao Acertar.","Ослабление эффекта проклятий на монстрах\nМонстры накладывают случайное проклятие при ударе.","Los monstruos tienen el efecto de las maldiciones reducido sobre ellos\nLos monstruos aplican maldiciones aleatorias con cada golpe.","มอนสเตอร์ มีผลของคำสาปต่อมัน ลดลง\nมอนสเตอร์ สาปแบบสุ่ม เมื่อปะทะ","怪物身上的詛咒效果減少\n怪物擊中時套用隨機詛咒。",6,1,2
81,"Nameless3",5055,20,81,100,1746,"[-50,30]",[4],[37428],[1],"[100,100,100,100]",5056,1187,6,[],"Nameless","Sans nom","Namenlos","名もなき","이름 없는","Inominado","<if:MS>{Безымянный}<elif:MP>{Безымянные}<else>{Безымянный}","Sin nombre","Nameless","無名","Monsters have reduced effect of Curses on them\nMonsters apply random Curses on Hit.","Les Effets des Malédictions sont réduits sur les Monstres\nLes Monstres appliquent des Malédictions aléatoires au Toucher.","Monster haben verringerte Wirkung von Flüchen auf sich\nMonster wenden bei Treffer zufällige Flüche an","モンスターは受けている呪いの効果が減少する\nモンスターはヒット時にランダムな呪いを付与する","몬스터에게 적용되는 저주의 효과가 감소합니다.\n몬스터가 명중 시 무작위 저주를 겁니다.","Monstros têm efeito de Maldições reduzido neles\nMonstros Aplicam uma Maldição aleatória ao Acertar.","Ослабление эффекта проклятий на монстрах\nМонстры накладывают случайное проклятие при ударе.","Los monstruos tienen el efecto de las maldiciones reducido sobre ellos\nLos monstruos aplican maldiciones aleatorias con cada golpe.","มอนสเตอร์ มีผลของคำสาปต่อมัน ลดลง\nมอนสเตอร์ สาปแบบสุ่ม เมื่อปะทะ","怪物身上的詛咒效果減少\n怪物擊中時套用隨機詛咒。",6,1,3
