"rownum","Id","i32_8","[rid]_12","Icon","rid_36","[rid]_52","rid_68","i32_84","i32_88","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_100","i32_116","[rid]_120","i32_136"
152,"HardModeSkillGemCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skill Gems","Vœu de gemmes d'aptitude","Wunsch nach Fertigkeitengemmen","スキルジェムを願う","스킬 젬을 소원으로 빌기","Pedir Gemas de Habilidade","Пожелать камней умений","Deseo de gemas de habilidad","ขอหินสกิล","技能寶石之願","",1911,[],1
153,"HardModeSkillGemCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skill Gems","Vœu de gemmes d'aptitude","Wunsch nach Fertigkeitengemmen","スキルジェムを願う","스킬 젬을 소원으로 빌기","Pedir Gemas de Habilidade","Пожелать камней умений","Deseo de gemas de habilidad","ขอหินสกิล","技能寶石之願","",1911,[],0
154,"HardModeCacheWishRedCoin",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Flame","Vœu de flamme","Wunsch nach Flammen","炎を願う","불길을 소원으로 빌기","Pedir Chamas","Пожелать пламени","Deseo de fuego","ขอเพลิง","火焰之願","",1911,[],3
155,"HardModeCacheWishBlueCoin",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Tides","Vœu de marées","Wunsch nach Fluten","潮を願う","파도를 소원으로 빌기","Pedir Marés","Пожелать волн","Deseo de mareas","ขอกระแสน้ำ","浪潮之願","",1911,[],2
156,"HardModeCacheWishGreenCoin",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Sands","Vœu de sables","Wunsch nach Sand","砂を願う","모래를 소원으로 빌기","Pedir Areias","Пожелать песков","Deseo de arena","ขอทราย","風沙之願","",1911,[],1
157,"HardModeCampaignWishUniqueArmour",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Ancient Protection","Vœu de protection antique","Wunsch nach Uraltem Schutz","古代の防護を願う","고대 보호를 소원으로 빌기","Pedir Proteção Antiga","Пожелать защиты древних","Deseo de protección ancestral","ขอเครื่องป้องกันโบราณ","遠古守護之願","",1911,[],0
158,"HardModeCampaignWishUniqueWeapon",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Ancient Armaments","Vœu d'armement antique","Wunsch nach Uralten Waffen","古代の武装を願う","고대 병기를 소원으로 빌기","Pedir Armamento Antigo","Пожелать оружия древних","Deseo de armamentos ancestrales","ขอยุทโธปกรณ์โบราณ","遠古軍備之願","",1911,[],0
159,"HardModeWishBootCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Swiftness","Vœu de rapidité","Wunsch nach Schnelligkeit","俊敏を願う","재빠름을 소원으로 빌기","Pedir Rapidez","Пожелать быстроты","Deseo de rapidez","ขอให้ว่องไว","迅捷之願","",1911,[],1
160,"HardModeWishBootCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Swiftness","Vœu de rapidité","Wunsch nach Schnelligkeit","俊敏を願う","재빠름을 소원으로 빌기","Pedir Rapidez","Пожелать быстроты","Deseo de rapidez","ขอให้ว่องไว","迅捷之願","",1911,[],0
161,"HardModeWishHelmetCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Helms","Vœu de casques","Wunsch nach Helmen","兜を願う","투구를 소원으로 빌기","Pedir Elmos","Пожелать шлемов","Deseo de yelmos","ขอหมวก","護盔之願","",1911,[],3
162,"HardModeWishHelmetCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Helms","Vœu de casques","Wunsch nach Helmen","兜を願う","투구를 소원으로 빌기","Pedir Elmos","Пожелать шлемов","Deseo de yelmos","ขอหมวก","護盔之願","",1911,[],0
163,"HardModeWishGlovesCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Mitts","Vœu de mitaines","Wunsch nach Fäustlingen","手袋を願う","장갑을 소원으로 빌기","Pedir Luvas","Пожелать рукавиц","Deseo de manoplas","ขอถุงมือ","護手之願","",1911,[],3
164,"HardModeWishGlovesCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Mitts","Vœu de mitaines","Wunsch nach Fäustlingen","手袋を願う","장갑을 소원으로 빌기","Pedir Luvas","Пожелать рукавиц","Deseo de manoplas","ขอถุงมือ","護手之願","",1911,[],0
165,"HardModeWishBodyArmourCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Protection","Vœu de protection","Wunsch nach Schutz","防護を願う","보호를 소원으로 빌기","Pedir Proteção","Пожелать защиты","Deseo de protección","ขอเครื่องป้องกัน","防護之願","",1911,[],3
166,"HardModeWishBodyArmourCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Protection","Vœu de protection","Wunsch nach Schutz","防護を願う","보호를 소원으로 빌기","Pedir Proteção","Пожелать защиты","Deseo de protección","ขอเครื่องป้องกัน","防護之願","",1911,[],0
167,"HardModeWishMeleeWeaponCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Blades","Vœu de lames","Wunsch nach Klingen","刃を願う","칼날을 소원으로 빌기","Pedir Lâminas","Пожелать клинков","Deseo de acero","ขออาวุธประจันหน้า","刀刃之願","",1911,[],1
168,"HardModeWishMeleeWeaponCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Blades","Vœu de lames","Wunsch nach Klingen","刃を願う","칼날을 소원으로 빌기","Pedir Lâminas","Пожелать клинков","Deseo de acero","ขออาวุธประจันหน้า","刀刃之願","",1911,[],0
169,"HardModeWishRangedWeaponCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Missiles","Vœu de traits","Wunsch nach Geschossen","投射物を願う","투사체를 소원으로 빌기","Pedir Projéteis","Пожелать снарядов","Deseo de misiles","ขออาวุธไกล","射彈之願","",1911,[],2
170,"HardModeWishRangedWeaponCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Missiles","Vœu de traits","Wunsch nach Geschossen","投射物を願う","투사체를 소원으로 빌기","Pedir Projéteis","Пожелать снарядов","Deseo de misiles","ขออาวุธไกล","射彈之願","",1911,[],0
171,"HardModeWishShieldCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Bastions","Vœu de bastions","Wunsch nach Bastionen","要塞を願う","보루를 소원으로 빌기","Pedir Bastiões","Пожелать бастионов","Deseo de bastiones","ขอปราการ","壁壘之願","",1911,[],2
172,"HardModeWishShieldCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Bastions","Vœu de bastions","Wunsch nach Bastionen","要塞を願う","보루를 소원으로 빌기","Pedir Bastiões","Пожелать бастионов","Deseo de bastiones","ขอปราการ","壁壘之願","",1911,[],0
173,"HardModeWishJewelleryCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","装飾品を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1911,[],2
174,"HardModeWishJewelleryCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","装飾品を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1911,[],0
175,"HardModeWishCurrencyCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Fortune","Vœu de fortune","Wunsch nach Vermögen","幸運を願う","부를 소원으로 빌기","Pedir Fortuna","Пожелать удачи","Deseo de fortuna","ขอลาภลอย","財運之願","",1911,[],3
176,"HardModeWishScarabCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skittering","Vœu de grouillement","Wunsch nach Huschen","虫を願う","끼적거리는 소리를 소원으로 빌기","Pedir Pezinhos","Пожелать шуршания","Deseo de insectos","ขอแมลง","蟲群之願","",1911,[],1
177,"HardModeWishMapCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Distant Horizons","Vœu d'horizons lointains","Wunsch nach fernen Horizonten","遠くの水平線を願う","아득한 지평선을 소원으로 빌기","Pedir Horizontes Distantes","Пожелать дальних горизонтов","Deseo de horizontes lejanos","ขอขอบฟ้าห่างไกล","彼端之願","",1911,[],3
